59178,30905,"988961,0,0xdd96aee270976aed78af36b936ab93917fcf5abe207e425f943c7fab4a86f6e4,30904,0x4c0be8d5d791fd24f39d1d6ac7951eba9049288ea847accaa163ab7904cf97ab,30905,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0","988961,0,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9,30902,0xc46250f5d09b3908986d846743df60cd000db2b97a728690d79d49ded2c527e2,30905,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9"
25359,30905,"988961,27,0xdd96aee270976aed78af36b936ab93917fcf5abe207e425f943c7fab4a86f6e4,30904,0x4c0be8d5d791fd24f39d1d6ac7951eba9049288ea847accaa163ab7904cf97ab,30905,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0","988961,27,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9,30902,0xc46250f5d09b3908986d846743df60cd000db2b97a728690d79d49ded2c527e2,30905,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9"
56608,30905,"988961,7,0xdd96aee270976aed78af36b936ab93917fcf5abe207e425f943c7fab4a86f6e4,30904,0x4c0be8d5d791fd24f39d1d6ac7951eba9049288ea847accaa163ab7904cf97ab,30905,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0","988961,7,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9,30902,0xc46250f5d09b3908986d846743df60cd000db2b97a728690d79d49ded2c527e2,30905,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9"
6666,30905,"988961,21,0xdd96aee270976aed78af36b936ab93917fcf5abe207e425f943c7fab4a86f6e4,30904,0x4c0be8d5d791fd24f39d1d6ac7951eba9049288ea847accaa163ab7904cf97ab,30905,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0","988961,21,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9,30902,0xc46250f5d09b3908986d846743df60cd000db2b97a728690d79d49ded2c527e2,30905,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9"
87615,30905,"988960,3,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0,30904,0x4c0be8d5d791fd24f39d1d6ac7951eba9049288ea847accaa163ab7904cf97ab,30905,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0","988960,3,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9,30902,0xc46250f5d09b3908986d846743df60cd000db2b97a728690d79d49ded2c527e2,30905,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9"
88726,30905,"988960,3,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0,30904,0x4c0be8d5d791fd24f39d1d6ac7951eba9049288ea847accaa163ab7904cf97ab,30905,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0","988960,3,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9,30902,0xc46250f5d09b3908986d846743df60cd000db2b97a728690d79d49ded2c527e2,30905,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9"
94805,30905,"988960,6,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0,30904,0x4c0be8d5d791fd24f39d1d6ac7951eba9049288ea847accaa163ab7904cf97ab,30905,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0","988960,6,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9,30902,0xc46250f5d09b3908986d846743df60cd000db2b97a728690d79d49ded2c527e2,30905,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9"
60538,30905,"988960,27,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0,30904,0x4c0be8d5d791fd24f39d1d6ac7951eba9049288ea847accaa163ab7904cf97ab,30905,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0","988960,27,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9,30902,0xc46250f5d09b3908986d846743df60cd000db2b97a728690d79d49ded2c527e2,30905,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9"
16426,30905,"988960,24,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0,30904,0x4c0be8d5d791fd24f39d1d6ac7951eba9049288ea847accaa163ab7904cf97ab,30905,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0","988960,24,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9,30902,0xc46250f5d09b3908986d846743df60cd000db2b97a728690d79d49ded2c527e2,30905,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9"
54474,30905,"988960,19,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0,30904,0x4c0be8d5d791fd24f39d1d6ac7951eba9049288ea847accaa163ab7904cf97ab,30905,0xd0dae7fee87f9ee9075f36b50d8931f2aa7e7f6731769512f8457cf8bc7726a0","988960,19,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9,30902,0xc46250f5d09b3908986d846743df60cd000db2b97a728690d79d49ded2c527e2,30905,0xdca73a3b5175b5c04205d62b6829a3eef3d565c374e635b30eab7f2b87eb60a9"
