85307,28716,918918,918918
20085,28716,918918,918918
14939,28716,918917,918917
30423,28716,918917,918917
29270,28716,918917,918917
93502,28716,918917,918917
41924,28716,918917,918917
39099,28716,918917,918917
10740,28716,918917,918917
96312,28716,918917,918917
68839,28716,918917,918917
19708,28716,918917,918917
39283,28716,918916,918916
34574,28716,918916,918916
7412,28716,918916,918916
111444,28716,918916,918916
88951,28716,918916,918916
20172,28716,918916,918916
105147,28716,918916,918916
11196,28716,918916,918916
114652,28716,918915,918915
64560,28716,918915,918915
97760,28716,918915,918915
52658,28716,918915,918915
58742,28716,918915,918915
52812,28716,918915,918915
112567,28716,918915,918915
4993,28716,918914,918914
72965,28716,918914,918914
17604,28716,918914,918914
4155,28716,918914,918914
24939,28716,918914,918914
13503,28716,918914,918914
17670,28716,918914,918914
40603,28716,918914,918914
25611,28716,918914,918914
42021,28716,918914,918914
47919,28716,918914,918914
62733,28716,918914,918914
20106,28716,918913,918913
25529,28716,918913,918913
84014,28716,918913,918913
37951,28716,918913,918913
61529,28716,918913,918913
63837,28716,918913,918913
32487,28716,918913,918913
86518,28716,918913,918913
24632,28716,918912,918912
51703,28716,918912,918912
94924,28716,918912,918912
106161,28716,918912,918912
52770,28716,918912,918912
115409,28716,918912,918912
64278,28716,918912,918912
56833,28716,918914,918914
57356,28716,918914,918914
